ID,WorkType,Type,Filepath,location
40141,KP Government Approved Rs 70 Crore To Ease Traffic Congestion on Ring Road Peshawar,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/14-august-1-840x620-840x620.png,Khyber Pakhtunkhwa,
40142,ACS KP Shahab Ali Shah Visited China Window Center in Peshawar,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-swabi-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40143,P&D Department KP Celebrated Independence Day With Nation,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-graduation-ceremony-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40144,Review Meeting on Development Projects of Swabi District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-fpd-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40145,Graduation Ceremony – Completion of Training Courses on “Project Cycle Management”,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-review-meeting-on-northern-bypass-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40146,Federal Ministry of P&D Team Visited P&D Department KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-unscdf-840x560-840x620.jpg,Khyber Pakhtunkhwa,
40147,Review Meeting on Peshawar Northern Bypass Project,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-pms-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40148,P&D Department & UN Resident Coordinator office Meeting on UNSDCF,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/inception-workshop-banner-840x498-840x620.jpg,Khyber Pakhtunkhwa,
40149,A Group of Newly Recruited (PMS) Officers Visited P&D Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/KP-government-promotes-11-officials-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40150,Inception Workshop Arranged by P&D Department KP and KFW,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/planning-manuals-banner-840x436-840x620.jpg,Khyber Pakhtunkhwa,
40151,KP Government Approved 7 Important projects worth Rs 16.46 billion for Public Welfare,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/banner-tracking-and-monitoring-projects-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40152,Technical Committee Meeting on Review and Finalization of Planning Manual,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/peshawar-bueatification-2021-07-23-840x444-840x620.png,Khyber Pakhtunkhwa,
40153,Meeting on Tracking and Monitoring of Important Development Projects,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/banner-assebly-meeting-840x404-840x620.jpg,Khyber Pakhtunkhwa,
40154,Meeting on the Beautification of Provincial Capital Peshawar,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/3-2-840x474-840x620.jpg,Khyber Pakhtunkhwa,
40155,Meeting of KP Assembly Standing Committee on Planning and Development,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/kp-cabinet-includes-liver-transplant-in-sehat-card-plus-scheme-1623788927-5025-840x620.jpg,Khyber Pakhtunkhwa,
40156,KP Government is Committed to Develop Roads Infrastructure in the Province,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/banner-sdgs-840x600-840x620.jpg,Khyber Pakhtunkhwa,
40157,The CDWP has formally approved two major projects in KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/banner.1st.pdwp_-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40158,Joint Meeting of PPTF and PAC on SDGs,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/banner-speical-pdwp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40159,1st PDWP Held on 7th July 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/07/banner-spgm-840x523-840x620.jpg,Khyber Pakhtunkhwa,
40160,Special PDWP Held on 5th July 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-varous-840x533-840x620.jpg,Khyber Pakhtunkhwa,
40161,The SPGM Section of P&D has Published its First Strategic Plan,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/ppp-banner-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40162,Work on Various Projects in KP Have Been Completed,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/1-3-840x592-840x620.jpg,Khyber Pakhtunkhwa,
40163,A Meeting Regarding Public-Private Partnership,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/acs-usaid-banner-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40164,ACS KP met with Head of Development Cooperation German Embassy Ms. Marion Pfennigs,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-nayj-benhanssian-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40165,23rd PDWP Held on 25th June 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-t-840x620.jpg,Khyber Pakhtunkhwa,
40166,ACS KP Meeting With USAID Team,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-press-confrence-840x606-840x620.jpg,Khyber Pakhtunkhwa,
40167,ACS KP met World Bank Pakistan Country Director Mr. Najy Benhassine Today,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/budget-840x550-840x620.jpg,Khyber Pakhtunkhwa,
40168,Meeting on the Development and Uplift of Integrated Districts,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-undp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40169,Provincial Government Press Conference on Khyber Pakhtunkhwa Budget 2021-22,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-briefing-to-cs-840x534-840x620.jpg,Khyber Pakhtunkhwa,
40170,ACS KP Shehab Ali Shah Views on Annual Development Program 2021-22,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-consultative-meeting-840x435-840x620.jpg,Khyber Pakhtunkhwa,
40171,ACS KP Shahab Ali Shah message regarding Budget 2021-22,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/df-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40172,Khyber Pakhtunkhwa Focuses on Development Planning,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/06/banner-consultative-meeting-riaz-840x323-840x620.jpg,Khyber Pakhtunkhwa,
40173,ACS KP Met Resident Representative of UNDP Knut Ostby Today,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/05/new-acs-kp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
