ID,WorkType,Type,Filepath,location
40032,World Bank Delegation Visited P&D Department KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-delegation-840x401-840x620.jpg,Khyber Pakhtunkhwa,
40033,The monitoring Team of Malakand Division Visited GHS Bandai District Swat,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-ghs-bandai-840x614-840x620.jpg,Khyber Pakhtunkhwa,
40034,Details of Development Projects of Khyber Pakhtunkhwa Government in Kohat District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/1280px-Kohat_Velly-1-840x454-840x620.jpg,Khyber Pakhtunkhwa,
40035,Special PDWP Meeting Approved A Project Worth Over Rs. 6 Billion for North Waziristan District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-pdwp-840x378-840x620.jpg,Khyber Pakhtunkhwa,
40036,Upgradation of Road From Sherkot to Hangu District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-sherkot-840x487-840x620.jpg,Khyber Pakhtunkhwa,
40037,10th Steering Committee Meeting of Schools Construction & Rehabilitation Program,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/10-scm-scrp-840x606-840x620.jpg,Khyber Pakhtunkhwa,
40038,Improvement and Rehabilitation of Pir Qila to Ghalani Road Mohmand District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-mohmand-agency-840x540-840x620.jpg,Khyber Pakhtunkhwa,
40039,Meeting of Annual Project Review Board of UNDP for MAGP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-undp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40040,16th PDWP Held on 8th March 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-16th-pdwp-840x451-840x620.jpg,Khyber Pakhtunkhwa,
40041,Improvement of Education Sector in KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-shawi-collage-840x478-840x620.jpg,Khyber Pakhtunkhwa,
40042,Mid Year Review Meeting of Annual Development Programme 2021-22,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-mid-year-review-2021-840x471-840x620.jpg,Khyber Pakhtunkhwa,
40043,Formation of the Second Phase of AIP for Integrated Districts,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-aip-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40044,Second Project Steering Committee Meeting on South Waziristan,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/03/banner-un-women-840x396-840x620.jpg,Khyber Pakhtunkhwa,
40045,UN Women Country & KP Heads Met ACS KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2020/12/pdwp-840x545-840x620.jpg,Khyber Pakhtunkhwa,
40046,Special PDWP Held on 28 February 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-swat-canal-840x581-840x620.jpg,Khyber Pakhtunkhwa,
